ts,explorer_validators,kobe_running_bam,in_both,only_explorer,only_kobe,disputed_stake_sol,kobe_total_validators,chain_validators,onchain_matched,stake_reported_sol,stake_onchain_sol,stake_abs_diff_sol,stake_max_rel_pct,stake_median_rel_pct,bam_headline_stake_sol,bam_headline_share_pct,bam_share_reported_pct,bam_share_onchain_pct
2026-08-10T10:02:04Z,373,370,370,3,0,967563.32,,,371,140574916.85,140574916.90,0.05,0.0000,,,,32.3902,32.3902
2026-08-10T10:32:44Z,373,371,371,2,0,744254.76,,,371,140574916.85,140574916.90,0.05,0.0000,,,,32.3902,32.3902
2026-08-10T11:03:31Z,373,372,372,1,0,620161.56,,,371,140574916.85,140574916.90,0.05,0.0000,,,,32.3902,32.3902
2026-08-10T11:34:02Z,373,371,371,2,0,744254.76,,,371,140574916.85,140574916.90,0.05,0.0000,,,,32.3902,32.3902
2026-08-10T12:04:30Z,373,373,372,1,1,744254.76,,,371,140694497.16,140694497.21,0.05,0.0000,,,,32.4177,32.4177
2026-08-10T12:35:00Z,372,373,371,1,2,987928.27,,,370,140450823.65,140450823.70,0.05,0.0000,,,,32.3616,32.3616
2026-08-10T13:05:30Z,372,371,371,1,0,620161.56,,,370,140450823.65,140450823.70,0.05,0.0000,,,,32.3673,32.3673
2026-08-10T13:36:06Z,372,372,371,1,1,744254.76,,,370,140450823.65,140450823.70,0.05,0.0000,,,,32.3679,32.3679
2026-08-10T14:06:45Z,371,370,370,1,0,620161.56,,,369,140327515.42,140327515.47,0.05,0.0000,,,,32.3400,32.3400
2026-08-10T14:37:14Z,372,371,371,1,0,620161.56,,,370,140450823.65,140450823.70,0.05,0.0000,,,,32.3616,32.3616
2026-08-10T15:07:48Z,373,373,372,1,1,744254.76,,,371,140562352.97,140562353.02,0.05,0.0000,,,,32.3873,32.3873
2026-08-10T15:38:13Z,373,372,372,1,0,620161.56,,,371,140562352.97,140562353.02,0.05,0.0000,,,,32.3873,32.3873
2026-08-10T16:08:15Z,372,372,371,1,1,868676.39,,,370,140313838.14,140313838.19,0.05,0.0000,,,,32.9387,32.9387
2026-08-10T16:38:40Z,374,371,371,3,0,992769.59,,,372,140686446.17,140686446.22,0.05,0.0000,,,,32.4159,32.4159
2026-08-10T17:09:25Z,374,372,372,2,0,744254.76,,,372,140686446.17,140686446.22,0.05,0.0000,,,,32.4159,32.4159
2026-08-10T17:40:09Z,376,374,374,2,0,744254.76,,,375,141429289.13,141429289.18,0.05,0.0000,,,,32.5861,32.5861
2026-08-10T18:10:09Z,374,374,372,2,2,1100573.14,,,373,141072970.75,141072970.80,0.05,0.0000,,,,32.5040,32.5040
2026-08-10T18:41:09Z,374,372,370,4,2,1789572.61,,,373,140740289.67,140740289.71,0.04,0.0000,,,,32.4273,32.4273
2026-08-10T19:11:24Z,374,372,372,2,0,744254.76,,,373,140740289.67,140740289.71,0.04,0.0000,,,,32.4273,32.4273
2026-08-10T19:41:29Z,373,373,371,2,2,921609.20,,,372,140575104.55,140575104.60,0.05,0.0000,,,,32.3976,32.3976
2026-08-10T20:12:13Z,373,373,372,1,1,744254.76,,,372,140575104.55,140575104.60,0.05,0.0000,,,,32.3892,32.3892
2026-08-10T20:42:17Z,373,373,372,1,1,735267.20,,,372,140578112.98,140578113.03,0.05,0.0000,,,,32.4029,32.4029
2026-08-10T21:12:34Z,374,371,371,3,0,828604.24,,,373,140730107.03,140730107.07,0.04,0.0000,,,,32.4803,32.4803
2026-08-10T21:43:05Z,375,371,370,5,1,986791.28,,,374,140578289.11,141717476.28,1139187.17,27.8461,,,,32.3245,32.5864
2026-08-10T23:14:42Z,373,370,369,4,1,338897.45,,,373,141519322.33,141519322.26,0.07,0.0024,,,,32.5556,32.5556
2026-08-10T23:45:13Z,374,371,369,5,2,757211.19,,,374,141608227.02,141608226.95,0.07,0.0024,,,,32.5610,32.5610
2026-08-11T00:16:06Z,374,373,372,2,1,127976.35,,,374,141608227.02,141608226.95,0.07,0.0024,,,,32.5806,32.5806
2026-08-11T00:46:48Z,374,371,371,3,0,223694.58,,,374,141547697.35,141547697.28,0.07,0.0024,,,,32.5471,32.5471
2026-08-11T01:17:40Z,375,372,371,4,1,591967.43,,,375,141791178.46,141791178.38,0.08,0.0024,,,,32.6031,32.6031
2026-08-11T01:48:08Z,376,372,372,4,0,371457.46,,,376,141915970.20,141915970.12,0.08,0.0024,,,,32.6318,32.6318
2026-08-11T02:18:11Z,376,372,372,4,0,371457.46,,,376,141915970.20,141915970.12,0.08,0.0024,,,,32.6318,32.6318
2026-08-11T02:48:40Z,376,372,372,4,0,371457.46,,,376,141915970.20,141915970.12,0.08,0.0024,,,,32.6318,32.6318
2026-08-11T03:19:11Z,376,372,372,4,0,371457.46,,,376,141915970.20,141915970.12,0.08,0.0024,,,,32.6318,32.6318
2026-08-11T03:49:40Z,376,374,374,2,0,3184.61,,,376,141915970.20,141915970.12,0.08,0.0024,,,,32.6318,32.6318
2026-08-11T04:20:08Z,375,372,372,3,0,246665.72,,,375,141791178.46,141791178.38,0.08,0.0024,,,,32.6031,32.6031
2026-08-11T04:50:38Z,375,373,372,3,1,371457.46,,,375,141791178.46,141791178.38,0.08,0.0024,,,,32.6031,32.6031
2026-08-11T05:21:06Z,375,372,372,3,0,246665.72,,,375,141791178.46,141791178.38,0.08,0.0024,,,,32.6031,32.6031
2026-08-11T05:51:35Z,375,372,372,3,0,246665.72,,,375,141791178.46,141791178.38,0.08,0.0024,,,,32.6031,32.6031
2026-08-11T06:21:39Z,375,373,372,3,1,371457.46,,,375,141791178.46,141791178.38,0.08,0.0024,,,,32.6031,32.6031
